"SDG_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MLT","Malta","2011","2011",99.38657,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MLT","Malta","2018","2018",99.56088,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SDN","Sudan","2000","2000",72.33138,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SDN","Sudan","2008","2008",62.71716,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SDN","Sudan","2018","2018",73.49,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","JOR","Jordan","2003","2003",98.91331,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","JOR","Jordan","2005","2005",99.02348,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","JOR","Jordan","2007","2007",98.94657,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","JOR","Jordan","2010","2010",98.76635,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","JOR","Jordan","2011","2011",99.25322,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","JOR","Jordan","2012","2012",99.20273,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","JOR","Jordan","2018","2018",99.49391,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LTU","Lithuania","2001","2001",99.70167,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LTU","Lithuania","2011","2011",99.8558,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CIV","Côte d'Ivoire","2000","2000",52.12517,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CIV","Côte d'Ivoire","2012","2012",38.75008,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CIV","Côte d'Ivoire","2014","2014",47.03975,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CIV","Côte d'Ivoire","2018","2018",53.0251,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CMR","Cameroon","2000","2000",88.42245,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CMR","Cameroon","2007","2007",89.41732,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CMR","Cameroon","2010","2010",85.39748,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CMR","Cameroon","2018","2018",87.72,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SLE","Sierra Leone","2004","2004",47.92761,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SLE","Sierra Leone","2013","2013",57.02213,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SLE","Sierra Leone","2018","2018",66.6486,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2005","2005",99.69097,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2006","2006",98.52218,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2007","2007",98.39884,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2008","2008",98.56516,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2010","2010",99.06282,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2012","2012",98.73638,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2013","2013",99.25229,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2015","2015",99.15068,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2017","2017",99.05684,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2018","2018",98.77679,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2004","2004",99.0213,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2006","2006",99.04006,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2007","2007",99.14022,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2008","2008",99.26932,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2009","2009",99.23454,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2010","2010",99.19628,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2011","2011",99.25737,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2012","2012",99.34319,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2013","2013",99.41851,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2014","2014",99.40951,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2015","2015",99.40797,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2016","2016",99.44656,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2017","2017",99.25569,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2018","2018",99.29223,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PSE","Palestine","2019","2019",99.37025,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2000","2000",97.26772,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2010","2010",98.45826,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2016","2016",97.85761,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2017","2017",97.43844,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2018","2018",97.01853,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","COM","Comoros","2000","2000",80.18576,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","COM","Comoros","2012","2012",71.58127,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","COM","Comoros","2018","2018",78.27039,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","RWA","Rwanda","2000","2000",76.86258,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","RWA","Rwanda","2010","2010",77.97246,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","RWA","Rwanda","2012","2012",83.48739,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","RWA","Rwanda","2014","2014",86.26225,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","RWA","Rwanda","2018","2018",88.50182,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BGR","Bulgaria","2001","2001",98.10977,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BGR","Bulgaria","2011","2011",97.65106,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PRK","Democratic People's Republic of Korea","2008","2008",99.99944,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SEN","Senegal","2002","2002",49.12449,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SEN","Senegal","2006","2006",50.85166,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SEN","Senegal","2009","2009",63.35239,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SEN","Senegal","2011","2011",65.78051,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SEN","Senegal","2013","2013",56.94301,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SEN","Senegal","2017","2017",69.47841,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","MHL","Marshall Islands","2011","2011",98.16972,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CAF","Central African Republic","2000","2000",72.59475,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CAF","Central African Republic","2010","2010",48.8571,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CAF","Central African Republic","2018","2018",47.80493,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BWA","Botswana","2003","2003",93.95744,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BWA","Botswana","2013","2013",97.45629,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TGO","Togo","2000","2000",74.43957,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TGO","Togo","2006","2006",76.45294,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TGO","Togo","2009","2009",81.73599,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TGO","Togo","2011","2011",79.88591,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TGO","Togo","2015","2015",84.29011,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NGA","Nigeria","2003","2003",60.50937,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NGA","Nigeria","2006","2006",74.5044,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NGA","Nigeria","2008","2008",57.95389,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NGA","Nigeria","2018","2018",68.26263,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","VEN","Venezuela (Bolivarian Republic of)","2001","2001",96.32622,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","VEN","Venezuela (Bolivarian Republic of)","2007","2007",97.9744,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","VEN","Venezuela (Bolivarian Republic of)","2009","2009",98.26986,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","VEN","Venezuela (Bolivarian Republic of)","2011","2011",96.88986,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","VEN","Venezuela (Bolivarian Republic of)","2015","2015",98.71199,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","VEN","Venezuela (Bolivarian Republic of)","2016","2016",98.44194,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","LVA","Latvia","2000","2000",99.71818,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","LVA","Latvia","2011","2011",99.80219,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","LVA","Latvia","2018","2018",99.78,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAR","Morocco","2004","2004",70.45759,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAR","Morocco","2008","2008",77.86296,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAR","Morocco","2009","2009",79.47369,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAR","Morocco","2011","2011",81.51007,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAR","Morocco","2012","2012",91.22096,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAR","Morocco","2018","2018",97.73,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TZA","United Republic of Tanzania","2002","2002",80.91718,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TZA","United Republic of Tanzania","2010","2010",76.49114,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TZA","United Republic of Tanzania","2012","2012",87.1745,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TZA","United Republic of Tanzania","2015","2015",87.0131,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","MUS","Mauritius","2000","2000",93.72184,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","MUS","Mauritius","2011","2011",97.68915,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","MUS","Mauritius","2018","2018",98.73798,"+","National Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2000","2000",95.71902,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2004","2004",97.90386,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2006","2006",98.36166,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2007","2007",98.55943,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2008","2008",98.53111,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2009","2009",98.69204,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2010","2010",98.31874,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2011","2011",99.07315,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2012","2012",99.02082,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2013","2013",99.22972,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2014","2014",99.25031,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2015","2015",99.3467,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2016","2016",99.45533,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2017","2017",99.48134,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BRA","Brazil","2018","2018",99.43153,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2006","2006",98.31211,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2007","2007",98.4888,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2008","2008",98.62774,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2009","2009",98.50746,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2010","2010",98.35943,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2011","2011",98.6134,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2012","2012",98.62612,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","URY","Uruguay","2013","2013",98.56438,,
