ref_area.label,indicator.label,source.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2009,20.26,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2009,30.85,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2011,10.01,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2011,7.61,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2011,12.23,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - PC - Recensements de Population,Sex: Total,2014,27.9,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - PC - Recensements de Population,Sex: Male,2014,21.71,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - PC - Recensements de Population,Sex: Female,2014,33.56,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2007,33.77,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2007,30.84,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2007,36.74,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2008,28.12,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2008,25.34,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2008,30.8,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2009,30.73,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2009,25.13,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2009,35.76,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2010,29.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2010,25.69,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2010,33.42,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2011,30.01,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2011,27.65,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2011,32.52,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2012,27.65,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2012,25.96,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2012,29.69,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2013,30.98,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2013,29.82,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2013,32.04,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2014,31.39,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2014,30.17,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2014,32.65,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2015,29.82,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2015,28.48,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2015,31.28,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2016,27.39,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2016,27.19,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2016,27.62,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2017,26.23,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2017,25.08,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2017,27.61,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2018,26.61,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2018,25.53,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2018,27.77,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Total,2019,25.82,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Male,2019,26.2,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Share of youth not in employment, education or training (NEET) by sex (%)",ALB - LFS - Labour Force Survey,Sex: Female,2019,25.45,,,Repository: ILO-STATISTICS - Micro data processing
Netherlands Antilles,"Share of youth not in employment, education or training (NEET) by sex (%)",ANT - LFS - Labour Force Survey,Sex: Total,2009,4.35,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
Netherlands Antilles,"Share of youth not in employment, education or training (NEET) by sex (%)",ANT - LFS - Labour Force Survey,Sex: Male,2009,3.98,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
Netherlands Antilles,"Share of youth not in employment, education or training (NEET) by sex (%)",ANT - LFS - Labour Force Survey,Sex: Female,2009,4.71,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
Netherlands Antilles,"Share of youth not in employment, education or training (NEET) by sex (%)",ANT - LFS - Labour Force Survey,Sex: Total,2011,4.77,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
Netherlands Antilles,"Share of youth not in employment, education or training (NEET) by sex (%)",ANT - LFS - Labour Force Survey,Sex: Male,2011,4.58,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
Netherlands Antilles,"Share of youth not in employment, education or training (NEET) by sex (%)",ANT - LFS - Labour Force Survey,Sex: Female,2011,4.95,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2004,20.98,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2004,16.1,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2004,25.82,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2005,19.87,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2005,15.32,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2005,24.46,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2006,19.51,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2006,14.25,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2006,24.76,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2008,19.42,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2008,14.52,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2008,24.43,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2009,20.04,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2009,15.8,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2009,24.34,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2010,19.46,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2010,14.73,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2010,24.22,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2011,18.4,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2011,13.89,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2011,22.98,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2012,18.41,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2012,13.78,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2012,23.1,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2013,19.07,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2013,14.38,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2013,24,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2014,19.67,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2014,15.14,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2014,24.51,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2017,19.25,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2017,15.78,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2017,22.78,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2018,19.02,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2018,15.53,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2018,22.49,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,2019,19.23,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,2019,16.83,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"Share of youth not in employment, education or training (NEET) by sex (%)",ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,2019,21.69,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Total,2014,38.03,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Male,2014,37.52,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Female,2014,38.49,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Total,2015,35.56,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Male,2015,36.35,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Female,2015,34.8,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Total,2016,36.58,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Male,2016,35.39,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,"Share of youth not in employment, education or training (NEET) by sex (%)",ARM - LFS - Household Labour Force Survey,Sex: Female,2016,37.83,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
