"SDG_IND","Indicator","LOCATION2017","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NPL","Nepal","2011","2011",80.20683,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NPL","Nepal","2018","2018",90.88347,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SUR","Suriname","2010","2010",98.37664,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SUR","Suriname","2012","2012",97.6679,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","SUR","Suriname","2018","2018",98.64556,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2010","2010",98.8541,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2011","2011",98.80532,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2012","2012",98.89454,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2013","2013",98.63248,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2014","2014",99.18693,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2015","2015",98.91229,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2016","2016",99.13692,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ECU","Ecuador","2017","2017",99.40242,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","COL","Colombia","2010","2010",98.5172,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","COL","Colombia","2011","2011",98.72434,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","COL","Colombia","2014","2014",98.97285,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","COL","Colombia","2015","2015",98.91534,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","COL","Colombia","2016","2016",99.02527,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","COL","Colombia","2018","2018",99.0696,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BLR","Belarus","2018","2018",99.85,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","COM","Comoros","2012","2012",73.81077,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","COM","Comoros","2018","2018",78.23941,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BRN","Brunei Darussalam","2011","2011",99.19989,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BRN","Brunei Darussalam","2018","2018",99.63516,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","UKR","Ukraine","2012","2012",99.96976,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","GIN","Guinea","2010","2010",37.56715,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","GIN","Guinea","2014","2014",56.97051,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CAF","Central African Republic","2010","2010",36.35627,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CAF","Central African Republic","2018","2018",38.26865,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2010","2010",99.73789,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2011","2011",99.89365,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2012","2012",99.89687,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2013","2013",99.89628,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2014","2014",99.89716,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2015","2015",99.73515,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2016","2016",99.91319,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2017","2017",99.92116,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SGP","Singapore","2018","2018",99.91742,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","TCD","Chad","2015","2015",25.99362,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","TCD","Chad","2016","2016",22.38715,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","PHL","Philippines","2013","2013",98.81543,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","PHL","Philippines","2015","2015",99.26673,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LKA","Sri Lanka","2010","2010",98.15793,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LKA","Sri Lanka","2016","2016",98.68899,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LKA","Sri Lanka","2017","2017",98.85646,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LKA","Sri Lanka","2018","2018",98.78194,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","GRC","Greece","2011","2011",98.90698,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","GRC","Greece","2018","2018",99.07,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MOZ","Mozambique","2015","2015",70.5251,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MOZ","Mozambique","2017","2017",70.91245,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CRI","Costa Rica","2011","2011",99.00768,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CRI","Costa Rica","2018","2018",99.34,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SLE","Sierra Leone","2013","2013",50.85709,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SLE","Sierra Leone","2018","2018",62.69922,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","AFG","Afghanistan","2011","2011",32.11322,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","AFG","Afghanistan","2018","2018",56.25475,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KAZ","Kazakhstan","2010","2010",99.94014,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KAZ","Kazakhstan","2018","2018",99.94014,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAK","Pakistan","2010","2010",71.25962,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAK","Pakistan","2011","2011",70.76933,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAK","Pakistan","2012","2012",72.58342,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAK","Pakistan","2013","2013",71.63622,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAK","Pakistan","2014","2014",72.7954,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAK","Pakistan","2017","2017",74.52638,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PRI","Puerto Rico","2010","2010",98.81458,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PRI","Puerto Rico","2017","2017",92.38995,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IDN","Indonesia","2011","2011",98.778,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IDN","Indonesia","2014","2014",99.68022,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IDN","Indonesia","2015","2015",99.67007,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IDN","Indonesia","2016","2016",99.66881,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IDN","Indonesia","2018","2018",99.70708,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2010","2010",98.45826,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2016","2016",97.85761,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2017","2017",97.43844,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MYS","Malaysia","2018","2018",97.01853,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUN","Tunisia","2010","2010",98.21085,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUN","Tunisia","2011","2011",98.23633,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUN","Tunisia","2012","2012",97.97062,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","TUN","Tunisia","2014","2014",96.61184,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","HTI","Haiti","2016","2016",83.3535,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2010","2010",98.49213,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2011","2011",98.50666,"+","National Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2012","2012",99.02957,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2013","2013",98.60191,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2014","2014",99.07946,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2015","2015",99.01495,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2016","2016",99.20723,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2017","2017",99.16837,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MEX","Mexico","2018","2018",99.38847,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BOL","Bolivia (Plurinational State of)","2011","2011",99.00752,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BOL","Bolivia (Plurinational State of)","2012","2012",98.99588,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BOL","Bolivia (Plurinational State of)","2015","2015",99.39917,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","GUY","Guyana","2014","2014",97.03701,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NIC","Nicaragua","2015","2015",91.57178,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2011","2011",99.40819,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2013","2013",99.04828,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2015","2015",99.35394,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2017","2017",99.00866,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NER","Niger","2012","2012",31.64391,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAN","Panama","2010","2010",97.93447,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAN","Panama","2018","2018",99.3122,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2010","2010",99.58867,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2011","2011",99.71145,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2012","2012",99.61428,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2013","2013",99.59812,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2014","2014",99.4024,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2015","2015",99.6435,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2016","2016",99.62893,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2018","2018",99.75765,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","QAT","Qatar","2013","2013",91.79358,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","QAT","Qatar","2014","2014",93.64452,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","QAT","Qatar","2016","2016",95.46365,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","QAT","Qatar","2017","2017",94.64411,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2010","2010",97.97273,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2012","2012",98.08572,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2018","2018",98.87544,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HRV","Croatia","2011","2011",99.73572,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MLI","Mali","2010","2010",44.30171,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MLI","Mali","2011","2011",47.13698,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MLI","Mali","2015","2015",49.36653,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MLI","Mali","2018","2018",50.1347,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","GEO","Georgia","2014","2014",99.67772,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","GEO","Georgia","2017","2017",99.76825,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2010","2010",95.8775,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2011","2011",96.92601,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2012","2012",95.98721,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2013","2013",96.29856,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2014","2014",96.29226,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2015","2015",96.99961,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2016","2016",97.24561,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","HND","Honduras","2018","2018",98.1851,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","TKM","Turkmenistan","2014","2014",99.9,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZAF","South Africa","2010","2010",98.38872,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZAF","South Africa","2011","2011",98.43064,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZAF","South Africa","2012","2012",98.49655,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZAF","South Africa","2014","2014",98.68172,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZAF","South Africa","2015","2015",98.68459,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZAF","South Africa","2017","2017",93.75609,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","LTU","Lithuania","2011","2011",99.84547,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","GTM","Guatemala","2012","2012",93.65347,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","GTM","Guatemala","2013","2013",91.85192,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","GTM","Guatemala","2014","2014",94.35425,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","UKR","Ukraine","2012","2012",99.95707,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAC","China, Macao Special Administrative Region","2011","2011",99.6729,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MAC","China, Macao Special Administrative Region","2016","2016",99.79874,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","TGO","Togo","2011","2011",72.70812,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","TGO","Togo","2015","2015",78.37085,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CAF","Central African Republic","2010","2010",48.8571,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","CAF","Central African Republic","2018","2018",47.80493,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2010","2010",98.78419,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2011","2011",98.86222,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2012","2012",98.95525,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2013","2013",98.92976,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2014","2014",98.83889,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2015","2015",98.9276,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2016","2016",99.15247,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2017","2017",98.9326,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","URY","Uruguay","2018","2018",98.88027,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2010","2010",97.51412,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2011","2011",98.48692,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2012","2012",98.61966,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2013","2013",98.73668,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2014","2014",98.84569,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2015","2015",98.96375,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2016","2016",99.11096,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2017","2017",99.15541,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BRA","Brazil","2018","2018",99.20417,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","OMN","Oman","2010","2010",98.16507,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","OMN","Oman","2014","2014",99.05662,"+","National Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","OMN","Oman","2015","2015",98.75332,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","OMN","Oman","2016","2016",98.9804,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","OMN","Oman","2017","2017",98.95638,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","OMN","Oman","2018","2018",98.97943,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","IDN","Indonesia","2011","2011",98.80384,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","IDN","Indonesia","2014","2014",99.68156,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","IDN","Indonesia","2015","2015",99.70176,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","IDN","Indonesia","2016","2016",99.68345,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","IDN","Indonesia","2018","2018",99.71748,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","VNM","Viet Nam","2018","2018",98.35314,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","VEN","Venezuela (Bolivarian Republic of)","2011","2011",97.55916,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","VEN","Venezuela (Bolivarian Republic of)","2015","2015",99.00763,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","VEN","Venezuela (Bolivarian Republic of)","2016","2016",98.75951,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2010","2010",79.50414,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2011","2011",78.04242,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2012","2012",80.28826,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2013","2013",79.40381,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2014","2014",79.76598,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PAK","Pakistan","2017","2017",81.26352,,
